year,idind,x,y
2012,32684,"8","2"
2012,32687,"8","3"
2012,40672,"8","4"
2012,31397,"10","1"
2012,28702,"13","2"
2012,32691,"8","4"
2012,40675,"11","1"
2012,44578,"8","2"
2012,44579,"8","2"
2012,40680,"8","3"
2012,44582,"12","3"
2012,40684,"8","3"
2012,40685,"8","3"
2012,40686,"8","2"
2012,32702,"8","3"
2012,44583,"4","2"
2012,32704,"12","2"
2012,32705,"6","3"
2012,32711,"6","2"
2012,32712,"8","2"
2012,40689,"24","2"
2012,40692,"24","2"
2012,32714,"6","2"
2012,32715,"8","2"
2012,32717,"8","2"
2012,40694,"12","3"
2012,40695,"12","4"
2012,32726,"8","2"
2012,32729,"4","3"
2012,40696,"7","1"
2012,44588,"6","1"
2012,11436,"8","1"
2012,40704,"8","3"
2012,40705,"8","3"
2012,40706,"6","2"
2012,44590,"9","2"
2012,44591,"8","3"
2012,44592,"8","3"
2012,44596,"8","1"
2012,40714,"8","1"
2012,40715,"8","3"
2012,44599,"5","2"
2012,44601,"12","3"
2012,44602,"8","3"
2012,44604,"11","4"
2012,40723,"8","3"
2012,40728,"8","4"
2012,40732,"8","2"
2012,40734,"8","3"
2012,44259,"8","3"
2012,40738,"24","3"
2012,32765,"12","2"
2012,32770,"8","2"
2012,32772,"10","2"
2012,32778,"12","4"
2012,32780,"12","1"
2012,40739,"12","1"
2012,40744,"8","3"
2012,40746,"11","3"
2012,40747,"8","4"
2012,40750,"8","2"
2012,40754,"8","3"
2012,40757,"8","3"
2012,40759,"8","3"
2012,40760,"12","2"
2012,28690,"8","1"
2012,28691,"8","1"
2012,40765,"14","2"
2012,40766,"12","1"
2012,40767,"5","1"
2012,44260,"9","2"
2012,16303,"8","3"
2012,40769,"8","2"
2012,269,"12","2"
2012,31373,"10","2"
2012,32527,"8","3"
2012,28707,"8","3"
2012,30170,"8","3"
2012,40640,"8","3"
2012,40641,"8","2"
2012,32692,"8","4"
2012,28715,"7","2"
2012,44616,"8","3"
2012,40726,"8","3"
2012,40729,"8","3"
2012,40771,"8","3"
2012,44618,"8","1"
2012,44619,"8","1"
2012,44621,"6","4"
2012,44622,"12","3"
2012,495,"12","3"
2012,11440,"8","3"
2012,28728,"8","2"
2012,517,"12","2"
2012,518,"12","3"
2012,526,"24","3"
2012,11443,"8","2"
2012,534,"8","3"
2012,535,"9","3"
2012,31403,"8","2"
2012,31404,"12","2"
2012,522,"11","2"
2012,14430,"8","3"
2012,44623,"8","3"
2012,514,"8","2"
2012,21483,"8","2"
2012,532,"8","1"
2012,17975,"24","2"
2012,525,"8","3"
2012,25306,"6","3"
2012,25307,"8","2"
2012,544,"6","2"
2012,545,"8","2"
2012,17976,"6","3"
2012,550,"4","2"
2012,551,"8","1"
2012,553,"8","1"
2012,17978,"9","4"
2012,558,"7","2"
2012,22832,"8","3"
2012,31409,"7","3"
2012,28733,"8","3"
2012,28734,"6","3"
2012,28736,"9","2"
2012,563,"7","4"
2012,565,"8","3"
2012,567,"8","3"
2012,569,"12","3"
2012,574,"8","3"
2012,11467,"8","4"
2012,11469,"8","3"
2012,581,"8","3"
2012,17983,"8","3"
